charts-service |192.168.0.101 |2023-11-28 11:19:31.499 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.500 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.507 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.506 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.512 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.514 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.519 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.519 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.526 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.526 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.532 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.532 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.537 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.538 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.544 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.544 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.549 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.550 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.557 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.557 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.561 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.561 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.567 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.567 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.572 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.573 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.578 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.579 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.607 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.610 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.618 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.618 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.623 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.623 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.629 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.629 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.634 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.634 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.640 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.640 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.644 | ERROR | pool-1-thread-2 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.645 |  WARN | pool-1-thread-1 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
charts-service |192.168.0.101 |2023-11-28 11:19:31.650 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.650 |  WARN | pool-1-thread-2 | org.apache.flume.api.NettyAvroRpcClient : 620 | Using default maxIOWorkers
